id,canonical_name,site,context,findspot,support,scribe,linear_a_text,linear_a_text_with_linebreaks,transliteration_text,gloss_text,image_rights,image_rights_url,source_dataset,undeciphered_language_notice
HTWa1107,HTWa1107,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1108,HTWa1108,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1109,HTWa1109,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1110,HTWa1110,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1111,HTWa1111,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1112,HTWa1112,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1113,HTWa1113,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1114,HTWa1114,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1115,HTWa1115,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1116,HTWa1116,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1117,HTWa1117,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1118,HTWa1118,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=77,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1119,HTWa1119,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1120,HTWa1120,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1121,HTWa1121,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘁,𐘁,RO,RO,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1122,HTWa1122,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 55,𐘃 𐘃¹¹²³,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1123,HTWa1123,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 56,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1124,HTWa1124,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1125,HTWa1125,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 57,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1126,HTWa1126,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1127,HTWa1127,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1128,HTWa1128,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1129,HTWa1129,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1130,HTWa1130,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 58,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=78,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1131,HTWa1131,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1132,HTWa1132,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1133,HTWa1133,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1134,HTWa1134,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 59,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1135,HTWa1135,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1136,HTWa1136,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1137,HTWa1137,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1138,HTWa1138,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1139,HTWa1139,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1140,HTWa1140,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1141,HTWa1141,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 60,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1142,HTWa1142,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1143,HTWa1143,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1144,HTWa1144,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1145,HTWa1145,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 59,𐘃,𐘃,TE,TE,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=79,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1146,HTWa1146,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘃,𐘃,TE,TE,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1147,HTWa1147,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 61,𐘇 𐘇¹¹⁴⁸,𐘇,A,A,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1148,HTWa1148,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 62,𐘇,𐘇,A,A,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1149,HTWa1149,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘇,𐘇,A,A,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1150,HTWa1150,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1151,HTWa1151,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1152,HTWa1152,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1153,HTWa1153,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1154,HTWa1154,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 64,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1155,HTWa1155,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1156,HTWa1156,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1157,HTWa1157,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1158,HTWa1158,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1159,HTWa1159,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1160,HTWa1160,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1161,HTWa1161,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1162,HTWa1162,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1163,HTWa1163,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1164,HTWa1164,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1165,HTWa1165,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1166,HTWa1166,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1167,HTWa1167,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1168,HTWa1168,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 63,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1169,HTWa1169,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1170,HTWa1170,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 65,𐘚,𐘚,I,I,,,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1171,HTWa1171,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 65,𐘚,𐘚,I,I,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1172,HTWa1172,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘚,𐘚,I,I,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1173,HTWa1173,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 66,𐘚,𐘚,I,I,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1174,HTWa1174,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 67,𐘚,𐘚,I,I,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1175,HTWa1175,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤 𐘤¹¹⁹⁹ 𐘤¹²⁵⁹,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1176,HTWa1176,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1177,HTWa1177,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1178,HTWa1178,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1179,HTWa1179,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1180,HTWa1180,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=80,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1181,HTWa1181,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1182,HTWa1182,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1183,HTWa1183,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1184,HTWa1184,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1185,HTWa1185,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1186,HTWa1186,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1187,HTWa1187,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1188,HTWa1188,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1189,HTWa1189,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1190,HTWa1190,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1191,HTWa1191,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1192,HTWa1192,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1193,HTWa1193,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1194,HTWa1194,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1195,HTWa1195,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=81,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1196,HTWa1196,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=82,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1197,HTWa1197,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=82,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1198,HTWa1198,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=82,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
HTWa1199,HTWa1199,Haghia Triada,LMIB,Portico 11 and Room 13,Nodule,HT Wa Scribe 68,𐘤,𐘤,SI,SI,© École Française d'Athènes,papers/GORILA-Vol2.pdf#page=82,LinearA Explorer / GORILA-derived open dataset,"Linear A is undeciphered. Transliteration values are conventional sign readings, not a full decipherment."
